danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.803,0.6,9,-6.533,1,0.0485,0.243,0.00542,0.0507,0.524,103.039,audio_features,2bBaAOsFVQfKwMAe4wVQb6,spotify:track:2bBaAOsFVQfKwMAe4wVQb6,https://api.spotify.com/v1/tracks/2bBaAOsFVQfKwMAe4wVQb6,https://api.spotify.com/v1/audio-analysis/2bBaAOsFVQfKwMAe4wVQb6,167747,4
0.74,0.758,1,-5.851,0,0.0921,0.061,1.44e-06,0.0967,0.757,171.925,audio_features,73RbfOTJIjHzi2pcVHjeHM,spotify:track:73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/tracks/73RbfOTJIjHzi2pcVHjeHM,https://api.spotify.com/v1/audio-analysis/73RbfOTJIjHzi2pcVHjeHM,189825,4
0.681,0.71,11,-6.643,0,0.0574,0.155,3.02e-05,0.367,0.254,89.957,audio_features,7g6FlLHxbVqMi1s7S8tDTp,spotify:track:7g6FlLHxbVqMi1s7S8tDTp,https://api.spotify.com/v1/tracks/7g6FlLHxbVqMi1s7S8tDTp,https://api.spotify.com/v1/audio-analysis/7g6FlLHxbVqMi1s7S8tDTp,188505,4
0.753,0.669,7,-4.914,0,0.104,0.0378,0.0,0.122,0.584,140.948,audio_features,0J1YRLYhTG1MBosjidD7OI,spotify:track:0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/tracks/0J1YRLYhTG1MBosjidD7OI,https://api.spotify.com/v1/audio-analysis/0J1YRLYhTG1MBosjidD7OI,247469,4
0.481,0.539,4,-7.865,0,0.108,0.551,0.00539,0.12,0.621,153.277,audio_features,1o8Z7GD1CeOaVBEyuzu4HO,spotify:track:1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/tracks/1o8Z7GD1CeOaVBEyuzu4HO,https://api.spotify.com/v1/audio-analysis/1o8Z7GD1CeOaVBEyuzu4HO,186678,4
0.78,0.42,6,-9.218,0,0.1,0.0314,1.48e-05,0.118,0.0952,99.024,audio_features,6sg284TefDkBpFh0317Agp,spotify:track:6sg284TefDkBpFh0317Agp,https://api.spotify.com/v1/tracks/6sg284TefDkBpFh0317Agp,https://api.spotify.com/v1/audio-analysis/6sg284TefDkBpFh0317Agp,146792,4
0.642,0.653,1,-4.635,1,0.113,0.0371,0.0,0.203,0.246,90.384,audio_features,58WSKtcvVt208XY8tolYQI,spotify:track:58WSKtcvVt208XY8tolYQI,https://api.spotify.com/v1/tracks/58WSKtcvVt208XY8tolYQI,https://api.spotify.com/v1/audio-analysis/58WSKtcvVt208XY8tolYQI,148997,4
0.762,0.48,10,-6.595,0,0.0471,0.611,0.0,0.0907,0.598,127.95,audio_features,4mYSL3RDHto3rcl7I57ndv,spotify:track:4mYSL3RDHto3rcl7I57ndv,https://api.spotify.com/v1/tracks/4mYSL3RDHto3rcl7I57ndv,https://api.spotify.com/v1/audio-analysis/4mYSL3RDHto3rcl7I57ndv,195000,4
0.763,0.594,0,-5.774,0,0.163,0.767,0.0,0.162,0.757,156.141,audio_features,2bBMOa6UwxfCR0tqLXExPZ,spotify:track:2bBMOa6UwxfCR0tqLXExPZ,https://api.spotify.com/v1/tracks/2bBMOa6UwxfCR0tqLXExPZ,https://api.spotify.com/v1/audio-analysis/2bBMOa6UwxfCR0tqLXExPZ,163858,3
0.54,0.649,5,-6.802,0,0.363,0.0253,0.0,0.0687,0.409,93.353,audio_features,7rZbFj5T5GzbIrVMrkw5AU,spotify:track:7rZbFj5T5GzbIrVMrkw5AU,https://api.spotify.com/v1/tracks/7rZbFj5T5GzbIrVMrkw5AU,https://api.spotify.com/v1/audio-analysis/7rZbFj5T5GzbIrVMrkw5AU,127616,4
