danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.744,0.682,9,-5.372,0,0.0437,0.887,0.885,0.333,0.817,140.134,audio_features,41B5pgb2nOO4QYXAOaAQGm,spotify:track:41B5pgb2nOO4QYXAOaAQGm,https://api.spotify.com/v1/tracks/41B5pgb2nOO4QYXAOaAQGm,https://api.spotify.com/v1/audio-analysis/41B5pgb2nOO4QYXAOaAQGm,250813,4
0.627,0.563,2,-8.052,1,0.0483,0.644,0.921,0.131,0.6,149.032,audio_features,1TaBSa6eZ1QsSZXBX1Rk6y,spotify:track:1TaBSa6eZ1QsSZXBX1Rk6y,https://api.spotify.com/v1/tracks/1TaBSa6eZ1QsSZXBX1Rk6y,https://api.spotify.com/v1/audio-analysis/1TaBSa6eZ1QsSZXBX1Rk6y,165360,4
0.378,0.812,2,-4.971,1,0.0908,0.0526,0.267,0.332,0.446,157.694,audio_features,02n2IYAPuVKrqZfNuBqPMW,spotify:track:02n2IYAPuVKrqZfNuBqPMW,https://api.spotify.com/v1/tracks/02n2IYAPuVKrqZfNuBqPMW,https://api.spotify.com/v1/audio-analysis/02n2IYAPuVKrqZfNuBqPMW,222533,4
0.722,0.882,2,-6.763,1,0.0348,0.0354,0.0496,0.119,0.921,136.299,audio_features,57J2znxukXsXzS3XPuZ1TG,spotify:track:57J2znxukXsXzS3XPuZ1TG,https://api.spotify.com/v1/tracks/57J2znxukXsXzS3XPuZ1TG,https://api.spotify.com/v1/audio-analysis/57J2znxukXsXzS3XPuZ1TG,222840,4
0.464,0.918,10,-4.247,1,0.131,0.716,5.69e-05,0.313,0.966,170.269,audio_features,3k80YuKn2pV1J02dfQtCVB,spotify:track:3k80YuKn2pV1J02dfQtCVB,https://api.spotify.com/v1/tracks/3k80YuKn2pV1J02dfQtCVB,https://api.spotify.com/v1/audio-analysis/3k80YuKn2pV1J02dfQtCVB,157787,4
0.48,0.875,1,-5.898,1,0.0429,1.62e-05,0.000751,0.103,0.826,116.754,audio_features,4hy4fb5D1KL50b3sng9cjw,spotify:track:4hy4fb5D1KL50b3sng9cjw,https://api.spotify.com/v1/tracks/4hy4fb5D1KL50b3sng9cjw,https://api.spotify.com/v1/audio-analysis/4hy4fb5D1KL50b3sng9cjw,300827,4
0.653,0.797,0,-6.958,1,0.048,0.0738,0.0,0.0847,0.726,133.725,audio_features,5BXoDYim9Upsv8dsuSJQPa,spotify:track:5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/tracks/5BXoDYim9Upsv8dsuSJQPa,https://api.spotify.com/v1/audio-analysis/5BXoDYim9Upsv8dsuSJQPa,199733,4
0.525,0.897,2,-5.194,1,0.0727,0.00646,0.731,0.0639,0.448,108.578,audio_features,1rCUQpzLUTtRh0fdxeW15j,spotify:track:1rCUQpzLUTtRh0fdxeW15j,https://api.spotify.com/v1/tracks/1rCUQpzLUTtRh0fdxeW15j,https://api.spotify.com/v1/audio-analysis/1rCUQpzLUTtRh0fdxeW15j,172133,4
0.373,0.722,2,-9.527,0,0.0378,0.0466,0.0,0.353,0.907,87.08,audio_features,2UkWpJGuuJlOwGBAzdmTct,spotify:track:2UkWpJGuuJlOwGBAzdmTct,https://api.spotify.com/v1/tracks/2UkWpJGuuJlOwGBAzdmTct,https://api.spotify.com/v1/audio-analysis/2UkWpJGuuJlOwGBAzdmTct,137920,4
0.858,0.382,10,-15.954,1,0.0463,0.806,0.00248,0.101,0.692,106.5,audio_features,7wJepIHVDC88KzSyzNU1mA,spotify:track:7wJepIHVDC88KzSyzNU1mA,https://api.spotify.com/v1/tracks/7wJepIHVDC88KzSyzNU1mA,https://api.spotify.com/v1/audio-analysis/7wJepIHVDC88KzSyzNU1mA,165093,4
