danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.58,0.954,5,-3.856,1,0.0613,0.00264,0.0,0.218,0.674,103.043,audio_features,3wTdlq26wMKw2KDComlHLA,spotify:track:3wTdlq26wMKw2KDComlHLA,https://api.spotify.com/v1/tracks/3wTdlq26wMKw2KDComlHLA,https://api.spotify.com/v1/audio-analysis/3wTdlq26wMKw2KDComlHLA,276320,4
0.518,0.686,9,-4.911,1,0.0313,0.114,0.0,0.114,0.334,144.065,audio_features,1XazlqB4YAtvouCmJPWXlM,spotify:track:1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/tracks/1XazlqB4YAtvouCmJPWXlM,https://api.spotify.com/v1/audio-analysis/1XazlqB4YAtvouCmJPWXlM,236227,4
0.656,0.817,11,-4.296,0,0.0435,0.22,0.0,0.304,0.862,130.448,audio_features,7Fq9RwQxSn3kW85PrDUf0M,spotify:track:7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/tracks/7Fq9RwQxSn3kW85PrDUf0M,https://api.spotify.com/v1/audio-analysis/7Fq9RwQxSn3kW85PrDUf0M,198227,4
0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,audio_features,59kHPbwyyCApYA8RQQEuXm,spotify:track:59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/tracks/59kHPbwyyCApYA8RQQEuXm,https://api.spotify.com/v1/audio-analysis/59kHPbwyyCApYA8RQQEuXm,148160,4
0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989,audio_features,1zWZvrk13cL8Sl3VLeG57F,spotify:track:1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,227693,4
0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,audio_features,3xdjjKMcMOFgo1eQrfbogM,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4
0.643,0.961,0,-5.298,1,0.0315,0.0196,0.0,0.948,0.96,124.027,audio_features,6pTIGM3tOJjuvS2jnG01eH,spotify:track:6pTIGM3tOJjuvS2jnG01eH,https://api.spotify.com/v1/tracks/6pTIGM3tOJjuvS2jnG01eH,https://api.spotify.com/v1/audio-analysis/6pTIGM3tOJjuvS2jnG01eH,205707,4
0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,audio_features,3rXCZRMiMZp0feGcYXpwYX,spotify:track:3rXCZRMiMZp0feGcYXpwYX,https://api.spotify.com/v1/tracks/3rXCZRMiMZp0feGcYXpwYX,https://api.spotify.com/v1/audio-analysis/3rXCZRMiMZp0feGcYXpwYX,287267,4
0.723,0.369,4,-10.249,1,0.0306,0.434,8.64e-06,0.097,0.25,106.892,audio_features,1kncpDG2BX6O9IQUB9TBMK,spotify:track:1kncpDG2BX6O9IQUB9TBMK,https://api.spotify.com/v1/tracks/1kncpDG2BX6O9IQUB9TBMK,https://api.spotify.com/v1/audio-analysis/1kncpDG2BX6O9IQUB9TBMK,156401,4
0.678,0.677,7,-7.36,1,0.0251,0.0793,0.0,0.103,0.591,125.616,audio_features,3UQJj5HkrsZKZFDx9JL2nZ,spotify:track:3UQJj5HkrsZKZFDx9JL2nZ,https://api.spotify.com/v1/tracks/3UQJj5HkrsZKZFDx9JL2nZ,https://api.spotify.com/v1/audio-analysis/3UQJj5HkrsZKZFDx9JL2nZ,259893,4
