danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.569,0.502,0,-10.571,0,0.0334,0.0111,0.833,0.612,0.788,100.206,audio_features,6Am9eCuCQELrIqImfCLhgM,spotify:track:6Am9eCuCQELrIqImfCLhgM,https://api.spotify.com/v1/tracks/6Am9eCuCQELrIqImfCLhgM,https://api.spotify.com/v1/audio-analysis/6Am9eCuCQELrIqImfCLhgM,255101,4
0.695,0.738,2,-7.499,1,0.0653,0.507,0.378,0.291,0.964,94.482,audio_features,7C5Ria90yxc4a0REG1D23U,spotify:track:7C5Ria90yxc4a0REG1D23U,https://api.spotify.com/v1/tracks/7C5Ria90yxc4a0REG1D23U,https://api.spotify.com/v1/audio-analysis/7C5Ria90yxc4a0REG1D23U,177656,4
0.39,0.582,10,-9.822,0,0.0427,0.466,0.356,0.292,0.561,79.633,audio_features,36huM0UOR9A17TYAape2Xg,spotify:track:36huM0UOR9A17TYAape2Xg,https://api.spotify.com/v1/tracks/36huM0UOR9A17TYAape2Xg,https://api.spotify.com/v1/audio-analysis/36huM0UOR9A17TYAape2Xg,301242,4
0.735,0.82,6,-8.931,0,0.0442,0.00233,0.724,0.0642,0.728,118.999,audio_features,07Waqz8Zkad6oM7dL4MNce,spotify:track:07Waqz8Zkad6oM7dL4MNce,https://api.spotify.com/v1/tracks/07Waqz8Zkad6oM7dL4MNce,https://api.spotify.com/v1/audio-analysis/07Waqz8Zkad6oM7dL4MNce,324979,4
0.811,0.57,9,-8.098,0,0.0418,0.22,0.894,0.0849,0.927,134.864,audio_features,145Hd5EtKOkJKyoWUIddzM,spotify:track:145Hd5EtKOkJKyoWUIddzM,https://api.spotify.com/v1/tracks/145Hd5EtKOkJKyoWUIddzM,https://api.spotify.com/v1/audio-analysis/145Hd5EtKOkJKyoWUIddzM,170083,4
0.59,0.477,0,-8.809,1,0.0298,0.693,0.841,0.183,0.799,87.014,audio_features,6F42K33jC5A2brWORXT8nE,spotify:track:6F42K33jC5A2brWORXT8nE,https://api.spotify.com/v1/tracks/6F42K33jC5A2brWORXT8nE,https://api.spotify.com/v1/audio-analysis/6F42K33jC5A2brWORXT8nE,147489,4
0.834,0.759,11,-6.911,0,0.0668,0.172,4.68e-06,0.124,0.87,99.865,audio_features,4Uompvio1rSmz6geQU9Pkl,spotify:track:4Uompvio1rSmz6geQU9Pkl,https://api.spotify.com/v1/tracks/4Uompvio1rSmz6geQU9Pkl,https://api.spotify.com/v1/audio-analysis/4Uompvio1rSmz6geQU9Pkl,344340,4
0.735,0.82,6,-8.931,0,0.0442,0.00233,0.724,0.0642,0.728,118.999,audio_features,5fYTGGSAxJz2cSWAAWwGZG,spotify:track:5fYTGGSAxJz2cSWAAWwGZG,https://api.spotify.com/v1/tracks/5fYTGGSAxJz2cSWAAWwGZG,https://api.spotify.com/v1/audio-analysis/5fYTGGSAxJz2cSWAAWwGZG,324979,4
0.688,0.646,9,-11.76,0,0.0539,0.0495,0.398,0.0834,0.961,103.86,audio_features,6FNdzxV9g4NaINrejBTPUi,spotify:track:6FNdzxV9g4NaINrejBTPUi,https://api.spotify.com/v1/tracks/6FNdzxV9g4NaINrejBTPUi,https://api.spotify.com/v1/audio-analysis/6FNdzxV9g4NaINrejBTPUi,167973,4
0.672,0.587,1,-10.828,1,0.0717,0.558,0.288,0.09,0.627,100.002,audio_features,7nZVVWPrKXaqxBXEJSf77L,spotify:track:7nZVVWPrKXaqxBXEJSf77L,https://api.spotify.com/v1/tracks/7nZVVWPrKXaqxBXEJSf77L,https://api.spotify.com/v1/audio-analysis/7nZVVWPrKXaqxBXEJSf77L,270587,4
