danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.376,0.355,5,-7.862,1,0.0268,0.507,0.0,0.103,0.331,86.975,audio_features,2QZ2bQYlYjw1sRzpqWLrwd,spotify:track:2QZ2bQYlYjw1sRzpqWLrwd,https://api.spotify.com/v1/tracks/2QZ2bQYlYjw1sRzpqWLrwd,https://api.spotify.com/v1/audio-analysis/2QZ2bQYlYjw1sRzpqWLrwd,279201,4
0.238,0.632,7,-6.93,1,0.0453,0.107,0.0,0.298,0.0664,147.279,audio_features,2ZN7TvWp124N2Ps0khQTP1,spotify:track:2ZN7TvWp124N2Ps0khQTP1,https://api.spotify.com/v1/tracks/2ZN7TvWp124N2Ps0khQTP1,https://api.spotify.com/v1/audio-analysis/2ZN7TvWp124N2Ps0khQTP1,398653,4
0.275,0.888,8,-4.321,1,0.193,0.0331,0.0,0.29,0.379,178.7,audio_features,0b0LHkoM7MlK1owCllWXan,spotify:track:0b0LHkoM7MlK1owCllWXan,https://api.spotify.com/v1/tracks/0b0LHkoM7MlK1owCllWXan,https://api.spotify.com/v1/audio-analysis/0b0LHkoM7MlK1owCllWXan,299225,3
0.455,0.486,1,-9.32,1,0.0475,0.534,0.0,0.0262,0.334,143.535,audio_features,2rMeydgA9N3tdfttxDMO1I,spotify:track:2rMeydgA9N3tdfttxDMO1I,https://api.spotify.com/v1/tracks/2rMeydgA9N3tdfttxDMO1I,https://api.spotify.com/v1/audio-analysis/2rMeydgA9N3tdfttxDMO1I,890731,4
0.373,0.624,1,-5.886,1,0.0583,0.384,0.0,0.127,0.173,120.47,audio_features,0qhPpRmzpRyRdXsEqViAvw,spotify:track:0qhPpRmzpRyRdXsEqViAvw,https://api.spotify.com/v1/tracks/0qhPpRmzpRyRdXsEqViAvw,https://api.spotify.com/v1/audio-analysis/0qhPpRmzpRyRdXsEqViAvw,478154,3
0.304,0.36,6,-9.11,0,0.0367,0.779,0.0,0.102,0.288,101.652,audio_features,1wbvNp0auSsI4HIz4BaG0K,spotify:track:1wbvNp0auSsI4HIz4BaG0K,https://api.spotify.com/v1/tracks/1wbvNp0auSsI4HIz4BaG0K,https://api.spotify.com/v1/audio-analysis/1wbvNp0auSsI4HIz4BaG0K,503764,4
0.427,0.506,7,-7.84,1,0.0377,0.0356,0.0,0.155,0.0827,138.92,audio_features,6i7YX1pSS23xCdfW1vzjBf,spotify:track:6i7YX1pSS23xCdfW1vzjBf,https://api.spotify.com/v1/tracks/6i7YX1pSS23xCdfW1vzjBf,https://api.spotify.com/v1/audio-analysis/6i7YX1pSS23xCdfW1vzjBf,273246,4
0.315,0.558,4,-7.458,1,0.0403,0.482,0.0,0.155,0.283,134.956,audio_features,3LRQggGQCcXTw1O9W1F90v,spotify:track:3LRQggGQCcXTw1O9W1F90v,https://api.spotify.com/v1/tracks/3LRQggGQCcXTw1O9W1F90v,https://api.spotify.com/v1/audio-analysis/3LRQggGQCcXTw1O9W1F90v,1174209,4
0.331,0.671,8,-7.562,1,0.11,0.357,0.0,0.122,0.467,109.903,audio_features,01sXKzitAQVsljePSMpxuv,spotify:track:01sXKzitAQVsljePSMpxuv,https://api.spotify.com/v1/tracks/01sXKzitAQVsljePSMpxuv,https://api.spotify.com/v1/audio-analysis/01sXKzitAQVsljePSMpxuv,421165,4
0.428,0.614,4,-8.859,1,0.0422,0.333,0.000808,0.641,0.187,148.032,audio_features,7HMvLDJClHGBaW9e7aO8rF,spotify:track:7HMvLDJClHGBaW9e7aO8rF,https://api.spotify.com/v1/tracks/7HMvLDJClHGBaW9e7aO8rF,https://api.spotify.com/v1/audio-analysis/7HMvLDJClHGBaW9e7aO8rF,385254,4
0.4,0.657,1,-7.99,1,0.14,0.374,0.0,0.0768,0.54,111.508,audio_features,1gB4zVWkHjoimGdyNhOmXv,spotify:track:1gB4zVWkHjoimGdyNhOmXv,https://api.spotify.com/v1/tracks/1gB4zVWkHjoimGdyNhOmXv,https://api.spotify.com/v1/audio-analysis/1gB4zVWkHjoimGdyNhOmXv,225445,4
0.245,0.782,5,-6.226,1,0.305,0.208,0.0,0.296,0.464,168.136,audio_features,1pAyPMHDHBOR3zlTK1eUb4,spotify:track:1pAyPMHDHBOR3zlTK1eUb4,https://api.spotify.com/v1/tracks/1pAyPMHDHBOR3zlTK1eUb4,https://api.spotify.com/v1/audio-analysis/1pAyPMHDHBOR3zlTK1eUb4,565834,4
0.671,0.907,5,-6.24,1,0.173,0.185,0.0,0.882,0.461,136.06,audio_features,5fpKz6Ei4IQPNh4YhlGdbE,spotify:track:5fpKz6Ei4IQPNh4YhlGdbE,https://api.spotify.com/v1/tracks/5fpKz6Ei4IQPNh4YhlGdbE,https://api.spotify.com/v1/audio-analysis/5fpKz6Ei4IQPNh4YhlGdbE,272349,4
0.241,0.484,0,-6.893,1,0.0315,0.652,0.0,0.412,0.148,105.447,audio_features,0iApjJnqkWle223SwRe78D,spotify:track:0iApjJnqkWle223SwRe78D,https://api.spotify.com/v1/tracks/0iApjJnqkWle223SwRe78D,https://api.spotify.com/v1/audio-analysis/0iApjJnqkWle223SwRe78D,641578,4
0.389,0.898,3,-5.644,1,0.184,0.0555,0.0,0.559,0.159,149.836,audio_features,0lcnrV43BC9CVKu92VRJf9,spotify:track:0lcnrV43BC9CVKu92VRJf9,https://api.spotify.com/v1/tracks/0lcnrV43BC9CVKu92VRJf9,https://api.spotify.com/v1/audio-analysis/0lcnrV43BC9CVKu92VRJf9,376667,4
0.39,0.654,0,-3.613,1,0.291,0.0288,0.0,0.123,0.873,182.979,audio_features,0gfAAOR1L26gMdZDRzutR2,spotify:track:0gfAAOR1L26gMdZDRzutR2,https://api.spotify.com/v1/tracks/0gfAAOR1L26gMdZDRzutR2,https://api.spotify.com/v1/audio-analysis/0gfAAOR1L26gMdZDRzutR2,213620,4
0.397,0.557,8,-7.484,1,0.0893,0.337,0.0,0.124,0.386,83.654,audio_features,0UBMg9kupr8QxZVzUumm0Q,spotify:track:0UBMg9kupr8QxZVzUumm0Q,https://api.spotify.com/v1/tracks/0UBMg9kupr8QxZVzUumm0Q,https://api.spotify.com/v1/audio-analysis/0UBMg9kupr8QxZVzUumm0Q,279467,4
0.394,0.641,7,-7.373,1,0.0318,0.00863,0.0,0.086,0.371,157.588,audio_features,0fukHGuIvc2NQEFCkI2owi,spotify:track:0fukHGuIvc2NQEFCkI2owi,https://api.spotify.com/v1/tracks/0fukHGuIvc2NQEFCkI2owi,https://api.spotify.com/v1/audio-analysis/0fukHGuIvc2NQEFCkI2owi,228600,4
0.315,0.676,1,-6.359,1,0.0655,0.0865,0.0,0.263,0.328,143.876,audio_features,4NYelbwioYZw4xifbi2WaH,spotify:track:4NYelbwioYZw4xifbi2WaH,https://api.spotify.com/v1/tracks/4NYelbwioYZw4xifbi2WaH,https://api.spotify.com/v1/audio-analysis/4NYelbwioYZw4xifbi2WaH,357213,4
