danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,audio_features,40SBS57su9xLiE1WqkXOVr,spotify:track:40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/tracks/40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/audio-analysis/40SBS57su9xLiE1WqkXOVr,177525,4
0.65,0.801,8,-5.624,0,0.0764,0.0257,0.00239,0.0942,0.605,125.008,audio_features,28pQcTJag5xFasUq2fw9PK,spotify:track:28pQcTJag5xFasUq2fw9PK,https://api.spotify.com/v1/tracks/28pQcTJag5xFasUq2fw9PK,https://api.spotify.com/v1/audio-analysis/28pQcTJag5xFasUq2fw9PK,307918,4
0.56,0.832,9,-6.432,0,0.0363,0.00953,0.00541,0.546,0.0818,126.0,audio_features,4qDpLaFGf5ampf2DXD2TMA,spotify:track:4qDpLaFGf5ampf2DXD2TMA,https://api.spotify.com/v1/tracks/4qDpLaFGf5ampf2DXD2TMA,https://api.spotify.com/v1/audio-analysis/4qDpLaFGf5ampf2DXD2TMA,236000,4
0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,audio_features,23RoR84KodL5HWvUTneQ1w,spotify:track:23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w,https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w,231545,4
0.716,0.94,1,-5.443,1,0.0539,0.00799,0.728,0.0807,0.737,128.015,audio_features,0rK3a7tLRVgJBoc2DP3tIX,spotify:track:0rK3a7tLRVgJBoc2DP3tIX,https://api.spotify.com/v1/tracks/0rK3a7tLRVgJBoc2DP3tIX,https://api.spotify.com/v1/audio-analysis/0rK3a7tLRVgJBoc2DP3tIX,203438,4
0.604,0.961,5,-7.349,0,0.0388,0.000385,0.85,0.253,0.677,128.009,audio_features,2BtCQtoNGPo74ChfxACqM2,spotify:track:2BtCQtoNGPo74ChfxACqM2,https://api.spotify.com/v1/tracks/2BtCQtoNGPo74ChfxACqM2,https://api.spotify.com/v1/audio-analysis/2BtCQtoNGPo74ChfxACqM2,195000,4
0.762,0.895,8,-4.562,1,0.0737,0.00618,0.145,0.203,0.755,125.979,audio_features,1aNUSKBe6UMyMk3pEu9ws7,spotify:track:1aNUSKBe6UMyMk3pEu9ws7,https://api.spotify.com/v1/tracks/1aNUSKBe6UMyMk3pEu9ws7,https://api.spotify.com/v1/audio-analysis/1aNUSKBe6UMyMk3pEu9ws7,182857,4
0.753,0.816,7,-6.576,1,0.0589,0.0102,0.587,0.152,0.376,128.005,audio_features,3m0cKFBobiuIuNDzOCQJSN,spotify:track:3m0cKFBobiuIuNDzOCQJSN,https://api.spotify.com/v1/tracks/3m0cKFBobiuIuNDzOCQJSN,https://api.spotify.com/v1/audio-analysis/3m0cKFBobiuIuNDzOCQJSN,145908,4
0.747,0.616,3,-9.76,0,0.0324,0.176,0.116,0.143,0.908,131.975,audio_features,5u4hhtZ7f4rWkMZEZcTKrH,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,https://api.spotify.com/v1/tracks/5u4hhtZ7f4rWkMZEZcTKrH,https://api.spotify.com/v1/audio-analysis/5u4hhtZ7f4rWkMZEZcTKrH,192151,4
0.608,0.739,10,-6.131,0,0.0376,0.00506,0.000397,0.13,0.301,130.025,audio_features,3y20RxZMr3wZMvhC78jc8O,spotify:track:3y20RxZMr3wZMvhC78jc8O,https://api.spotify.com/v1/tracks/3y20RxZMr3wZMvhC78jc8O,https://api.spotify.com/v1/audio-analysis/3y20RxZMr3wZMvhC78jc8O,189113,4
