danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072,audio_features,2SrC3eKJkbnz4WWJufgBTS,spotify:track:2SrC3eKJkbnz4WWJufgBTS,https://api.spotify.com/v1/tracks/2SrC3eKJkbnz4WWJufgBTS,https://api.spotify.com/v1/audio-analysis/2SrC3eKJkbnz4WWJufgBTS,187520,4
0.42,0.929,7,-3.899,0,0.121,0.000353,0.000747,0.122,0.3,127.204,audio_features,5V3mdRI2yQxbSsJGDPc5lD,spotify:track:5V3mdRI2yQxbSsJGDPc5lD,https://api.spotify.com/v1/tracks/5V3mdRI2yQxbSsJGDPc5lD,https://api.spotify.com/v1/audio-analysis/5V3mdRI2yQxbSsJGDPc5lD,210240,4
0.312,0.946,4,-3.209,0,0.107,0.00749,2.93e-06,0.288,0.297,189.892,audio_features,646J2jOtUe4Jflrmh6JFjN,spotify:track:646J2jOtUe4Jflrmh6JFjN,https://api.spotify.com/v1/tracks/646J2jOtUe4Jflrmh6JFjN,https://api.spotify.com/v1/audio-analysis/646J2jOtUe4Jflrmh6JFjN,235893,4
0.407,0.876,8,-4.145,1,0.0529,0.000254,0.00265,0.215,0.521,116.335,audio_features,7MeXwzhSDGfqNfuFANgzVC,spotify:track:7MeXwzhSDGfqNfuFANgzVC,https://api.spotify.com/v1/tracks/7MeXwzhSDGfqNfuFANgzVC,https://api.spotify.com/v1/audio-analysis/7MeXwzhSDGfqNfuFANgzVC,218933,3
0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,audio_features,1bdXMstfxFWYSkEFTnJMoN,spotify:track:1bdXMstfxFWYSkEFTnJMoN,https://api.spotify.com/v1/tracks/1bdXMstfxFWYSkEFTnJMoN,https://api.spotify.com/v1/audio-analysis/1bdXMstfxFWYSkEFTnJMoN,331267,4
0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,audio_features,4aYLAF6ckQ5ooGGGM7sWAa,spotify:track:4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/tracks/4aYLAF6ckQ5ooGGGM7sWAa,https://api.spotify.com/v1/audio-analysis/4aYLAF6ckQ5ooGGGM7sWAa,386493,4
0.428,0.943,0,-4.129,1,0.0798,0.00162,0.0,0.814,0.605,152.041,audio_features,2U64TRs9DKbGzs2fPxSGdx,spotify:track:2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/tracks/2U64TRs9DKbGzs2fPxSGdx,https://api.spotify.com/v1/audio-analysis/2U64TRs9DKbGzs2fPxSGdx,199737,4
0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,audio_features,4e9eGQYsOiBcftrWXwsVco,spotify:track:4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/tracks/4e9eGQYsOiBcftrWXwsVco,https://api.spotify.com/v1/audio-analysis/4e9eGQYsOiBcftrWXwsVco,235053,4
0.481,0.932,4,-4.592,0,0.083,0.00721,0.0,0.337,0.543,149.992,audio_features,11Ojp7JniVvwd0gmgvyKkd,spotify:track:11Ojp7JniVvwd0gmgvyKkd,https://api.spotify.com/v1/tracks/11Ojp7JniVvwd0gmgvyKkd,https://api.spotify.com/v1/audio-analysis/11Ojp7JniVvwd0gmgvyKkd,271000,4
0.485,0.987,4,-3.1,1,0.0738,2.08e-05,0.0,0.267,0.272,123.576,audio_features,6AKWOVOJ81OQfsgxZbJ6QN,spotify:track:6AKWOVOJ81OQfsgxZbJ6QN,https://api.spotify.com/v1/tracks/6AKWOVOJ81OQfsgxZbJ6QN,https://api.spotify.com/v1/audio-analysis/6AKWOVOJ81OQfsgxZbJ6QN,224906,4
0.547,0.958,9,-2.448,0,0.121,0.0035,7.96e-06,0.132,0.452,149.979,audio_features,0bAxBAvxJRxBKH2J50wPdZ,spotify:track:0bAxBAvxJRxBKH2J50wPdZ,https://api.spotify.com/v1/tracks/0bAxBAvxJRxBKH2J50wPdZ,https://api.spotify.com/v1/audio-analysis/0bAxBAvxJRxBKH2J50wPdZ,193100,4
