danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.629,0.824,9,-6.53,1,0.159,0.155,0.000628,0.0651,0.852,128.01,audio_features,3KliPMvk1EvFZu9cvkj8p1,spotify:track:3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/tracks/3KliPMvk1EvFZu9cvkj8p1,https://api.spotify.com/v1/audio-analysis/3KliPMvk1EvFZu9cvkj8p1,247960,4
0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,audio_features,5ka2ajep9OAvU5Sgduhiex,spotify:track:5ka2ajep9OAvU5Sgduhiex,https://api.spotify.com/v1/tracks/5ka2ajep9OAvU5Sgduhiex,https://api.spotify.com/v1/audio-analysis/5ka2ajep9OAvU5Sgduhiex,212333,4
0.755,0.861,2,-6.614,1,0.181,0.0459,2.87e-05,0.234,0.437,129.957,audio_features,7Ch9AUCVekPV3QSaEIA6qH,spotify:track:7Ch9AUCVekPV3QSaEIA6qH,https://api.spotify.com/v1/tracks/7Ch9AUCVekPV3QSaEIA6qH,https://api.spotify.com/v1/audio-analysis/7Ch9AUCVekPV3QSaEIA6qH,218372,4
0.725,0.864,9,-5.601,1,0.0838,0.0121,0.0,0.0796,0.839,124.981,audio_features,3iEwla99ovgF0Rdla6FZm4,spotify:track:3iEwla99ovgF0Rdla6FZm4,https://api.spotify.com/v1/tracks/3iEwla99ovgF0Rdla6FZm4,https://api.spotify.com/v1/audio-analysis/3iEwla99ovgF0Rdla6FZm4,148773,4
0.859,0.828,6,-6.925,0,0.0529,0.0156,0.000828,0.0205,0.36,124.023,audio_features,0SENYBHXBj0TI1ZygWwxee,spotify:track:0SENYBHXBj0TI1ZygWwxee,https://api.spotify.com/v1/tracks/0SENYBHXBj0TI1ZygWwxee,https://api.spotify.com/v1/audio-analysis/0SENYBHXBj0TI1ZygWwxee,201013,4
0.748,0.841,7,-5.08,1,0.177,0.00445,1.33e-06,0.0413,0.717,123.045,audio_features,5pNFibJLq7dvoDVIIcQBkn,spotify:track:5pNFibJLq7dvoDVIIcQBkn,https://api.spotify.com/v1/tracks/5pNFibJLq7dvoDVIIcQBkn,https://api.spotify.com/v1/audio-analysis/5pNFibJLq7dvoDVIIcQBkn,129817,4
0.745,0.728,7,-4.686,1,0.034,0.0183,1.5e-06,0.14,0.625,124.016,audio_features,3WGJSY8JaGliVIJyMig5aS,spotify:track:3WGJSY8JaGliVIJyMig5aS,https://api.spotify.com/v1/tracks/3WGJSY8JaGliVIJyMig5aS,https://api.spotify.com/v1/audio-analysis/3WGJSY8JaGliVIJyMig5aS,189200,4
0.728,0.858,9,-3.686,1,0.0609,0.0403,4.09e-06,0.0241,0.591,125.055,audio_features,5kcE7pp02ezLZaUbbMv3Iq,spotify:track:5kcE7pp02ezLZaUbbMv3Iq,https://api.spotify.com/v1/tracks/5kcE7pp02ezLZaUbbMv3Iq,https://api.spotify.com/v1/audio-analysis/5kcE7pp02ezLZaUbbMv3Iq,205640,4
0.766,0.816,1,-5.092,1,0.152,0.0148,0.0142,0.114,0.613,153.013,audio_features,40VqYKBAJP901tpuq6WMt7,spotify:track:40VqYKBAJP901tpuq6WMt7,https://api.spotify.com/v1/tracks/40VqYKBAJP901tpuq6WMt7,https://api.spotify.com/v1/audio-analysis/40VqYKBAJP901tpuq6WMt7,204150,4
0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,audio_features,3AzjcOeAmA57TIOr9zF1ZW,spotify:track:3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/tracks/3AzjcOeAmA57TIOr9zF1ZW,https://api.spotify.com/v1/audio-analysis/3AzjcOeAmA57TIOr9zF1ZW,193829,4
